,test21,Optimizer,objfname,startTime,EndTime,ExecutionTime,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,BestFitness,BestIndividual,X,Q,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,GSA,FitnessFunction,2020-09-30-00-05-51,2020-09-30-00-06-02,10.53856301,2 faze,278.7610157,278.7610157,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,"[120.0, 55.0, 55.0]",0.450909091,1.295454545,0.319573901,0.387096774,1.063636364,0.407272727,0.680754503,1.090909091,0.261818182,0.407272727,1.254545455,0.862026257,0,518
-,-,GSA,FitnessFunction,2020-09-30-00-06-19,2020-09-30-00-06-31,12.73301125,3 faze,429.4449404,429.4449404,382.5021614,381.8167921,381.8167921,381.8167921,381.8167921,381.8167921,381.2356011,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,379.7787486,"[120.0, 51.0, 43.0, 14.0]",0.48627451,1.397058824,0.344638521,0.417457306,1.147058824,0.439215686,1.142857143,1.053093462,0.334883721,0.520930233,1.211057481,1.657142857,0,710
-,-,GSA,FitnessFunction,2020-09-30-00-06-51,2020-09-30-00-07-06,14.95837927,4 faze,357.4105264,357.4105264,355.5286457,355.5037648,350.7702401,350.7702401,350.7702401,350.7702401,350.2419704,349.915416,349.880114,346.3322053,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,"[120.0, 42.0, 7.0, 42.0, 15.0]",0.59047619,1.28032345,1.257142857,1.257142857,1.051212938,0.533333333,1.066666667,1.078167116,0.342857143,0.533333333,1.239892183,1.546666667,0,640
-,-,GSA,FitnessFunction,2020-09-30-00-07-30,2020-09-30-00-07-47,17.82196951,5 faza,927.3220553,899.7170315,753.2332426,726.7946553,726.7946553,717.4699748,717.4699748,716.0799412,710.8552068,710.8552068,710.8552068,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,709.5491357,"[120.0, 36.0, 7.0, 36.0, 12.0, 13.0]",0.688888889,1.493710692,1.257142857,1.257142857,1.226415094,0.622222222,1.230769231,1.257861635,1.2,1.866666667,1.446540881,1.784615385,0,1276
-,-,GSA,FitnessFunction,2020-09-30-00-08-13,2020-09-30-00-08-33,19.90380478,6 faza,1544.839274,1398.948976,1334.69109,1325.891269,1298.487638,1298.487638,1298.487638,1278.142341,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,1277.980652,"[120.0, 31.0, 12.0, 7.0, 30.0, 10.0, 12.0]",2.066666667,1.734631771,1.257142857,1.257142857,1.424223981,1.866666667,1.333333333,1.509433962,1.44,2.24,1.735849057,1.933333333,0,2028
