,test1,Optimizer,objfname,startTime,EndTime,ExecutionTime,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,BestFitness,BestIndividual,X,Q,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,GSA,FitnessFunction,2020-09-30-00-04-18,2020-09-30-00-04-29,11.21933961,2 faze,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,"[30.0, 10.0, 10.0]","0.42,  ",0.5625,0.356083086,0.395655547,0.4875,0.4,0.378338279,0.525,0.38,0.44,0.4875,0.409711684,0,0
-,-,GSA,FitnessFunction,2020-09-30-00-04-32,2020-09-30-00-04-45,12.88043785,3 faze,22.3713126,22.3713126,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,19.89635885,"[42.0, 12.0, 9.0, 9.0]",0.49,0.65625,0.415430267,0.461598138,0.56875,0.466666667,0.528888889,0.616352201,0.591111111,0.684444444,0.572327044,0.56,0,0
-,-,GSA,FitnessFunction,2020-09-30-00-04-48,2020-09-30-00-05-04,15.08834982,4 faze,44.36244415,36.01601191,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,34.97639569,"[75.0, 18.0, 14.0, 15.0, 14.0]",0.583333333,0.589622642,0.571428571,0.607142857,0.511006289,0.555555556,0.607142857,0.660377358,0.633333333,0.733333333,0.613207547,0.642857143,0,0
-,-,GSA,FitnessFunction,2020-09-30-00-05-07,2020-09-30-00-05-24,17.21388769,5 faza,75.09332641,69.74668241,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,56.22932221,"[82.0, 17.0, 11.0, 13.0, 13.0, 12.0]",0.675294118,0.682574917,0.795151515,0.844848485,0.591564928,0.643137255,0.774444444,0.833091437,0.798974359,0.925128205,0.773584906,0.82,0,0
-,-,GSA,FitnessFunction,2020-09-30-00-05-28,2020-09-30-00-05-47,19.30384064,6 faza,111.6399444,111.3704224,111.3704224,108.9738099,108.9738099,105.8448516,104.72998,104.72998,104.72998,104.72998,104.72998,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,"[120.0, 18.0, 18.0, 15.0, 17.0, 18.0, 16.0]",0.933333333,0.943396226,0.853333333,0.906666667,0.817610063,0.888888889,0.85,0.932297447,0.844444444,0.977777778,0.865704772,0.9,0,0
