,test21,Optimizer,objfname,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,BestFitness,BestIndividual,X,Q
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,PSO,FitnessFunction,2 faze,278.8900738,265.2568359,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,264.8634059,"[120, 55.0, 55.0]","[0.4509090909090909, 1.2954545454545456, 0.3195739014647137, 0.38709677419354843, 1.0636363636363637, 0.4072727272727273, 0.6807545029073891, 1.090909090909091, 0.26181818181818184, 0.4072727272727273, 1.2545454545454546, 0.8620262571216251]","[0, 518.0]"
-,-,PSO,FitnessFunction,3 faze,429.4449404,379.7787486,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,379.4999614,"[120, 51.0, 42.0, 15.0]","[0.48627450980392156, 1.3970588235294117, 0.3446385211874363, 0.4174573055028463, 1.1470588235294117, 0.4392156862745098, 1.0666666666666667, 1.0781671159029649, 0.34285714285714286, 0.5333333333333333, 1.2398921832884098, 1.5466666666666666]","[0, 720.0]"
-,-,PSO,FitnessFunction,4 faze,358.3872374,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,344.9938749,"[120, 42.0, 7, 42.0, 15.0]","[0.5904761904761905, 1.280323450134771, 1.2571428571428571, 1.2571428571428571, 1.0512129380053907, 0.5333333333333333, 1.0666666666666667, 1.0781671159029649, 0.34285714285714286, 0.5333333333333333, 1.2398921832884098, 1.5466666666666666]","[0, 640.0]"
-,-,PSO,FitnessFunction,5 faza,942.8997854,754.237327,718.5020967,713.8386249,709.5107706,709.5107706,709.5107706,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,708.999981,"[120.0, 37.0, 7, 36.0, 12.0, 12.0]","[0.6702702702702703, 1.4533401325854154, 1.2571428571428571, 1.2571428571428571, 1.1932687404385516, 0.6054054054054054, 1.3333333333333333, 1.2578616352201257, 1.2, 1.8666666666666667, 1.4465408805031446, 1.9333333333333333]","[0, 1264.0]"
-,-,PSO,FitnessFunction,6 faza,1530.723171,1366.675804,1288.947541,1288.947541,1288.947541,1276.813307,1272.88573,1272.681047,1272.681047,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,1272.485268,"[120, 31.0, 12.0, 7, 31.0, 10.0, 11.0]","[2.066666666666667, 1.7346317711503345, 1.2571428571428571, 1.2571428571428571, 1.4242239805234325, 1.8666666666666667, 1.4545454545454546, 1.4607425441265975, 1.44, 2.24, 1.6798539257455871, 2.109090909090909]","[0, 2016.0]"
