label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,BestFitness,BestIndividual,X,Q
GSA,757.2672421,371.9513881,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,201.9248834,"[120.0, 25.0, 10.0, 14.0, 30.0, 22.0]",0.82,1.57
PSO,757.2672421,250.8448598,227.1169062,212.1419181,197.0966179,187.9527457,187.5519883,186.8232636,186.1901742,184.1846844,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,183.6307728,"[120.0, 25.0, 12.0, 14.0, 43.0, 7]","[0.63, 1.57, 1.0, 1.24, 1.0, 1.19, 1.1, 0.79, 1.3]","[0, 267.0]"
