,test1,Optimizer,objfname,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,BestFitness,BestIndividual,X,Q
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,PSO,FitnessFunction,2 faze,10.90313293,10.90313293,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,10.84871705,"[30, 10.0, 10.0]","[0.42, 0.5625000000000001, 0.3560830860534125, 0.39565554693560906, 0.48750000000000004, 0.4, 0.37833827893175076, 0.525, 0.38, 0.44, 0.48750000000000004, 0.409711684370258]","[0, 0]"
-,-,PSO,FitnessFunction,3 faze,22.3713126,19.27678372,19.27107665,19.17518726,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,19.15054299,"[39.0, 11.0, 9.0, 7]","[0.49636363636363634, 0.6647727272727273, 0.42082546533585113, 0.46759291910571976, 0.5761363636363637, 0.4727272727272727, 0.6314285714285715, 0.5723270440251572, 0.5488888888888889, 0.6355555555555555, 0.5314465408805031, 0.6685714285714286]","[0, 0]"
-,-,PSO,FitnessFunction,4 faze,44.70390807,32.24370824,31.13597536,31.13597536,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,30.83410027,"[53.0, 11.0, 8.0, 11.0, 9.0]","[0.6745454545454546, 0.6818181818181818, 0.7066666666666667, 0.7508333333333334, 0.5909090909090909, 0.6424242424242425, 0.6674074074074074, 0.6363636363636364, 0.6103030303030303, 0.7066666666666667, 0.5909090909090909, 0.7066666666666667]","[0, 0]"
-,-,PSO,FitnessFunction,5 faza,75.09332641,56.11604731,55.37023407,55.37023407,54.60876844,54.60876844,54.60876844,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,54.44225324,"[86.0, 16.0, 12.0, 14.0, 15.0, 13.0]","[0.7525000000000001, 0.7606132075471698, 0.7644444444444445, 0.8122222222222223, 0.6591981132075472, 0.7166666666666667, 0.7497435897435898, 0.8113207547169811, 0.7262222222222221, 0.8408888888888888, 0.7533692722371967, 0.793846153846154]","[0, 0]"
-,-,PSO,FitnessFunction,6 faza,111.6399444,110.177395,107.5259652,107.5259652,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,104.5016342,"[120.0, 18.0, 18.0, 15.0, 17.0, 18.0, 16.0]","[0.9333333333333333, 0.9433962264150944, 0.8533333333333334, 0.9066666666666666, 0.8176100628930818, 0.8888888888888888, 0.85, 0.9322974472807992, 0.8444444444444444, 0.9777777777777777, 0.8657047724750278, 0.9]","[0, 0]"
