,test22,Optimizer,objfname,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,BestFitness,BestIndividual,X,Q
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,PSO,FitnessFunction,2 faze,129.7323097,121.0106581,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,120.7248863,"[120, 55.0, 55.0]","[0.4072727272727273, 0.5863636363636364, 0.2804908590032557, 0.17626897339644199, 0.6136363636363636, 0.36363636363636365, 0.4065499717673631, 0.7636363636363637, 0.21818181818181817, 0.4509090909090909, 0.5727272727272728, 0.4984423676012461]","[518.0, 0]"
-,-,PSO,FitnessFunction,3 faze,335.2701427,299.2296919,291.2908547,291.2908547,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,290.7502248,"[120, 49.0, 37.0, 22.0]","[0.45714285714285713, 0.6581632653061225, 0.3148366784730421, 0.19785292932253692, 0.6887755102040816, 0.40816326530612246, 0.7636363636363637, 0.8567057623661396, 0.32432432432432434, 0.6702702702702703, 0.6425293217746048, 0.8]","[720.0, 94.0]"
-,-,PSO,FitnessFunction,4 faze,349.4239953,301.3637948,289.5689699,283.1288126,281.6986785,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,280.1087345,"[120, 35.0, 12.0, 37.0, 22.0]","[0.64, 0.6954177897574123, 0.9333333333333333, 0.6, 0.7277628032345013, 0.5714285714285714, 0.7636363636363637, 0.8567057623661396, 0.32432432432432434, 0.6702702702702703, 0.6425293217746048, 0.8]","[640.0, 79.0]"
-,-,PSO,FitnessFunction,5 faza,1412.886297,1245.874637,1245.019174,1242.193598,1242.193598,1237.002686,1237.002686,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,1235.080222,"[120.0, 30.0, 8.0, 33.0, 17.0, 16.0]","[0.7466666666666667, 0.8113207547169812, 1.4, 0.9, 0.8490566037735849, 0.6666666666666666, 1.05, 0.9605488850771869, 0.7058823529411765, 1.4588235294117646, 0.7204116638078902, 1.1]","[1264.0, 1025.0]"
-,-,PSO,FitnessFunction,6 faza,2972.476108,2840.892243,2798.790963,2798.790963,2798.542984,2798.186286,2797.866006,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,2795.44,"[120.0, 24.0, 16.0, 7, 27.0, 15.0, 13.0]","[1.4, 1.0141509433962264, 1.6, 1.0285714285714285, 1.0613207547169812, 1.25, 1.2923076923076924, 1.1740041928721174, 0.8, 1.6533333333333333, 0.8805031446540881, 1.353846153846154]","[2016.0, 2451.0]"
